,ADM,BAX,AT,RX,PAYX,WM,BLL,OKE,MU,DJ,NYT,GDW,CCL,KR,PD,OXY,CPWR,AFL,EDS,MDT,AA,JWN,UTX,IBM,CD,ETN,EIX,NEM,MTG,WMI
NYT,4.6680441826001526e-05,4.665840020967184e-05,9.389869894627533e-05,6.756628828473538e-05,0.0001224196967698092,7.85214961635747e-05,9.73929543615529e-05,7.026858713025755e-05,0.00016964515464274577,0.0001737309200984609,0.0002804025641481463,7.406981364609384e-05,0.00017953018879142632,5.829257842447621e-05,0.00010014135120783639,4.173631585413423e-05,0.0001904628316525808,9.45958139245157e-05,0.00013999500326939584,6.734019287666595e-05,0.00013020917476032516,0.00014548683279906843,0.00012389241033711627,0.00010974254649258948,0.00015333284363628274,9.532917636293791e-05,6.497488205589214e-05,-4.1796605170575216e-05,0.00010544532708501338,6.799345147638239e-05
GDW,6.765615345052211e-05,7.487596886322876e-05,7.446305743269996e-05,8.227818054854636e-05,0.00012040806399759748,0.00024993340546833185,8.605993016183178e-05,7.539795857355412e-05,8.32465363302927e-05,8.150584316890778e-05,7.406981364609384e-05,0.00032963181250312396,8.571034676528846e-05,9.56511875616849e-05,0.00010662846774745558,4.972446328584774e-05,8.008385422302207e-05,0.00015050655215173523,0.00011801186856535242,7.335732472317357e-05,0.00012298103942606932,0.00014364147577366777,0.0001259354961408108,7.886172915928516e-05,0.0001248519763610545,0.0001046599255673509,7.624755224821438e-05,-1.0488734993148902e-05,0.00016734452127291604,6.901854472159537e-05
CCL,9.154445999374836e-05,8.212352425267526e-05,0.00013141301612053265,8.741489414542601e-05,0.0001735162346941301,9.677152730922418e-05,0.00013252084609206044,0.00010443582045120736,0.00017802615576961432,0.00017073642280579645,0.00017953018879142632,8.571034676528846e-05,0.0007171052222444748,9.909470597000637e-05,0.00018134530782261402,7.940318872838836e-05,0.00029851724645783097,0.00017394405207517294,0.0002066052957561547,0.00015108387339525693,0.00023172646076275014,0.00026184626990917985,0.0002515027908628086,0.00015191116614086367,0.00023467245201150676,0.0001710567771663668,0.00012072378779512924,-2.5075412729731613e-05,0.00018096642681149559,0.0001466634793136866
KR,7.531114428460591e-05,9.647423237234519e-05,7.46312287103942e-05,0.00010099663489927555,0.00010991358991196622,0.0001053521869804801,7.465444452902076e-05,5.73567302072035e-05,6.888831781440807e-05,8.611640252986315e-05,5.829257842447621e-05,9.56511875616849e-05,9.909470597000637e-05,0.00047076980963845676,0.00010566423389054374,5.5294611931993565e-05,9.379560273202716e-05,0.0001053268696863532,0.00011024390636615527,7.126307332619996e-05,0.00012921595553578167,0.00012548343095909512,9.923291505677631e-05,6.621857619258242e-05,0.00010626831980976552,9.135207121810012e-05,0.00012638901627790266,-1.8816510588510647e-05,0.00014405604229380734,9.690196708317312e-05
PD,7.822656984319386e-05,8.709750802107105e-05,0.00011513639390993973,0.00012162358509346106,0.00017436805052775713,0.00010701039581525608,0.00016565791292897828,0.00011332614080986391,0.0002561646802852635,0.00013538894667638812,0.00010014135120783639,0.00010662846774745558,0.00018134530782261402,0.00010566423389054374,0.0005967664912066705,0.000125318007546853,0.0002481563037188707,0.0001224174217387498,0.00015529580364525588,9.735925571019468e-05,0.00037096237497311106,0.0001973263018284119,0.0002004069883180337,0.0001333194784065682,0.00017256992771985024,0.00016732597236019257,0.00013286800054153932,8.579650338209736e-05,0.00014997787369788477,0.0001037125824901308
OXY,4.752979624357299e-05,6.351470351908771e-05,4.558094111493064e-05,6.305766453488231e-05,7.569578110397362e-05,3.9925463699734895e-05,8.481968380977813e-05,0.0001038461643733462,7.818290716551712e-05,6.57767940927082e-05,4.173631585413423e-05,4.972446328584774e-05,7.940318872838836e-05,5.5294611931993565e-05,0.000125318007546853,0.00029319078565721976,8.984842948360786e-05,6.700265579105637e-05,6.005157810058058e-05,4.797916620623456e-05,0.00011767078528595226,7.621586524307145e-05,9.325262561166861e-05,5.299600882520136e-05,7.092842920363296e-05,8.395822774572279e-05,7.846715602740423e-05,7.53251121507329e-05,7.04390683529618e-05,4.833228394940149e-05
CPWR,0.00010398985886863383,0.00010310564005012352,0.00020476504278692584,0.0001952779323640103,0.00032784068287488937,0.00010399119710979858,0.0001509169152696551,0.00015759027373358597,0.0006767129653541593,0.00023632790018323984,0.0001904628316525808,8.008385422302207e-05,0.00029851724645783097,9.379560273202716e-05,0.0002481563037188707,8.984842948360786e-05,0.0020460119093765306,0.00016222590918674504,0.00039617367999059773,0.00013677778473676405,0.00027006157222912323,0.00027655441017807606,0.00026862125878933027,0.0003986802018008245,0.00035436192424118156,0.0002617419684784373,5.8442116763170707e-05,-5.6030968720867896e-05,0.00021732366566100668,0.00017119726058627743
AFL,9.007842598301317e-05,9.179462871612637e-05,0.00010052844140809349,8.219076646613439e-05,0.00014004189126472824,0.00013837545087814614,0.00011281145826693405,9.29500343265788e-05,7.21211212461384e-05,9.415783114403297e-05,9.45958139245157e-05,0.00015050655215173523,0.00017394405207517294,0.0001053268696863532,0.0001224174217387498,6.700265579105637e-05,0.00016222590918674504,0.000420185030392486,0.00014332431912639752,9.135870692355507e-05,0.00014097548846662443,0.00014833924763677823,0.00014099283048941657,9.706197971901106e-05,0.00014723060311557095,0.00011239067836243292,0.00012684058579076792,-1.589336255830871e-05,0.000172880617493925,8.447672801951225e-05
EDS,8.635686449692924e-05,0.00010229579414774508,0.0001423654801609926,0.00014436637858590852,0.00018753389489625254,0.0001147197501409937,0.0001306631095772149,0.0001085557938971241,0.00032177005038321147,0.00018164247648542198,0.00013999500326939584,0.00011801186856535242,0.0002066052957561547,0.00011024390636615527,0.00015529580364525588,6.005157810058058e-05,0.00039617367999059773,0.00014332431912639752,0.0010639620606451958,0.00010187930440722521,0.00020634211251444203,0.00014024765170843733,0.00015450616750257846,0.00025851951413266984,0.00021251437437791776,0.00016324141153285194,0.00015555772429495085,6.894188130761946e-06,0.0001986383652637528,0.00011155179457665857
MDT,6.14690073425053e-05,0.0001271230397620307,7.054866665837433e-05,0.00010206390770784303,0.00012335630821903938,7.315832167072235e-05,5.4434362210799014e-05,6.988228580916711e-05,0.0001063152121111992,8.185681009434775e-05,6.734019287666595e-05,7.335732472317357e-05,0.00015108387339525693,7.126307332619996e-05,9.735925571019468e-05,4.797916620623456e-05,0.00013677778473676405,9.135870692355507e-05,0.00010187930440722521,0.0003761172407363522,0.0001160792516471281,0.00013291567834352897,0.0001231354973028269,7.68238480685278e-05,0.00011843196898071417,9.11060660296341e-05,9.062375996295272e-05,-2.723141331315593e-06,7.387930481247902e-05,9.552421106533783e-05
AA,0.00010104538673221939,0.0001061360423785173,0.00013822219767160678,0.0001449796504948371,0.00018579639471998953,0.00011803654891623245,0.00018763738288931863,0.00013383668744293967,0.000257770281479012,0.00015948180638306164,0.00013020917476032516,0.00012298103942606932,0.00023172646076275014,0.00012921595553578167,0.00037096237497311106,0.00011767078528595226,0.00027006157222912323,0.00014097548846662443,0.00020634211251444203,0.0001160792516471281,0.0006189913601097997,0.00024145578579467484,0.00024259363909923324,0.00017587818963710252,0.0002315641192586995,0.000192487699588948,0.00017414394159181586,2.236421859011831e-05,0.00018029328260657455,0.00013092977928248276
JWN,9.247985293593912e-05,6.894389579448909e-05,0.00011638304542120048,0.00012585907655756593,0.00019320803817550082,0.00013850833069445947,0.0001558916340234458,9.170535005225247e-05,0.00022813932800286974,0.00015779840091308258,0.00014548683279906843,0.00014364147577366777,0.00026184626990917985,0.00012548343095909512,0.0001973263018284119,7.621586524307145e-05,0.00027655441017807606,0.00014833924763677823,0.00014024765170843733,0.00013291567834352897,0.00024145578579467484,0.0007613601500259838,0.00022308031318290836,0.00017457282728656996,0.00024398048259297795,0.00018760230819093218,8.07658134475337e-05,-3.418110344348856e-05,0.00018440712051586499,0.0001443723706745602
UTX,9.155759352825369e-05,8.51847737102941e-05,0.00011667290313776782,0.0001262539438715571,0.00018672163343688665,0.00012691889772486787,0.00013373471712159587,0.0001115649624402976,0.00021802102824800473,0.00014216590963978876,0.00012389241033711627,0.0001259354961408108,0.0002515027908628086,9.923291505677631e-05,0.0002004069883180337,9.325262561166861e-05,0.00026862125878933027,0.00014099283048941657,0.00015450616750257846,0.0001231354973028269,0.00024259363909923324,0.00022308031318290836,0.0004711010575662559,0.00015026515625805325,0.00019842398247070978,0.00019273557316237485,0.00017129594026277134,-4.6152767760560044e-05,0.00016378928269167127,0.00013188465509048774
IBM,5.892135587461108e-05,4.972992567590628e-05,0.00012329384666912843,0.0001010029051491846,0.00020156808263173056,8.861524098261072e-05,9.315719445356726e-05,8.725662736393377e-05,0.0003734279465471419,0.00013534072958826138,0.00010974254649258948,7.886172915928516e-05,0.00015191116614086367,6.621857619258242e-05,0.0001333194784065682,5.299600882520136e-05,0.0003986802018008245,9.706197971901106e-05,0.00025851951413266984,7.68238480685278e-05,0.00017587818963710252,0.00017457282728656996,0.00015026515625805325,0.00048675617513673793,0.00020963649736883077,0.00013258196076374997,0.00010235996522271701,-4.621476742798861e-05,0.0001380182805218155,0.00010442743980095147
CD,6.867806924150546e-05,8.958096351094852e-05,0.00013705557814016153,0.00010428796963688729,0.0002168896969788229,0.00012308050760619446,0.00012769109404076252,9.135172938907484e-05,0.0003378874522731911,0.00016206550353309996,0.00015333284363628274,0.0001248519763610545,0.00023467245201150676,0.00010626831980976552,0.00017256992771985024,7.092842920363296e-05,0.00035436192424118156,0.00014723060311557095,0.00021251437437791776,0.00011843196898071417,0.0002315641192586995,0.00024398048259297795,0.00019842398247070978,0.00020963649736883077,0.0007136605794614247,0.00018602216079905757,0.000107787004275428,-4.5909659368802055e-05,0.00018488225098223937,0.00014819891199442835
ETN,7.03703082469116e-05,8.009517462366023e-05,9.993701401706689e-05,9.394790451994664e-05,0.00017775414235543212,0.00010738637785872679,0.0001265373889241172,9.019935489384777e-05,0.00023911291574354212,0.00011864909117460615,9.532917636293791e-05,0.0001046599255673509,0.0001710567771663668,9.135207121810012e-05,0.00016732597236019257,8.395822774572279e-05,0.0002617419684784373,0.00011239067836243292,0.00016324141153285194,9.11060660296341e-05,0.000192487699588948,0.00018760230819093218,0.00019273557316237485,0.00013258196076374997,0.00018602216079905757,0.0003486403817653919,9.661433293687507e-05,-2.662407911237055e-05,0.00014932716368330155,0.0001021066909330368
EIX,9.19567103774786e-05,0.00012172131710442991,9.150209570988204e-05,7.336419766211396e-05,7.729403066830372e-05,7.902553837055174e-05,7.237671599065828e-05,0.00014442495953990008,9.6251902315919e-05,8.850269489204137e-05,6.497488205589214e-05,7.624755224821438e-05,0.00012072378779512924,0.00012638901627790266,0.00013286800054153932,7.846715602740423e-05,5.8442116763170707e-05,0.00012684058579076792,0.00015555772429495085,9.062375996295272e-05,0.00017414394159181586,8.07658134475337e-05,0.00017129594026277134,0.00010235996522271701,0.000107787004275428,9.661433293687507e-05,0.0011355229477032747,-3.140144032760283e-05,0.00011737819787322029,9.113704179148808e-05
NEM,-1.2827590553208463e-05,-3.09170512559442e-06,-4.9418578776344864e-05,-2.1361887996342996e-05,-7.819715972163377e-05,-2.143074701143977e-05,1.777491179735027e-05,-3.0098936770828314e-06,-6.916535630601076e-05,-2.147572354921207e-05,-4.1796605170575216e-05,-1.0488734993148902e-05,-2.5075412729731613e-05,-1.8816510588510647e-05,8.579650338209736e-05,7.53251121507329e-05,-5.6030968720867896e-05,-1.589336255830871e-05,6.894188130761946e-06,-2.723141331315593e-06,2.236421859011831e-05,-3.418110344348856e-05,-4.6152767760560044e-05,-4.621476742798861e-05,-4.5909659368802055e-05,-2.662407911237055e-05,-3.140144032760283e-05,0.0007338082544281181,-3.5469699898125034e-05,-2.8987493300305964e-05
MTG,9.694743605159893e-05,9.071045939551099e-05,9.035951779781329e-05,0.00011341373814665215,0.0001713260753186066,0.00016769732643496152,0.00012127167994009652,9.785229159958962e-05,0.00015111858072206532,0.00013226060847321413,0.00010544532708501338,0.00016734452127291604,0.00018096642681149559,0.00014405604229380734,0.00014997787369788477,7.04390683529618e-05,0.00021732366566100668,0.000172880617493925,0.0001986383652637528,7.387930481247902e-05,0.00018029328260657455,0.00018440712051586499,0.00016378928269167127,0.0001380182805218155,0.00018488225098223937,0.00014932716368330155,0.00011737819787322029,-3.5469699898125034e-05,0.0005400326407770153,0.00011524146156257565
WMI,7.791564384803328e-05,7.216833615436535e-05,9.367007725436008e-05,6.030477195158262e-05,0.00014350142303464378,7.383381117269887e-05,8.073620692021833e-05,7.643612300996171e-05,0.000136069851924953,7.865007272163164e-05,6.799345147638239e-05,6.901854472159537e-05,0.0001466634793136866,9.690196708317312e-05,0.0001037125824901308,4.833228394940149e-05,0.00017119726058627743,8.447672801951225e-05,0.00011155179457665857,9.552421106533783e-05,0.00013092977928248276,0.0001443723706745602,0.00013188465509048774,0.00010442743980095147,0.00014819891199442835,0.0001021066909330368,9.113704179148808e-05,-2.8987493300305964e-05,0.00011524146156257565,0.00045609775531798923
